,#,Tên huyện,Số điểm cháy
0,1,Bù Gia Mập,199
1,2,TX. Phước Long,44
2,3,Hớn Quản,262
3,4,Chơn Thành,208
4,5,Lộc Ninh,580
5,6,Phú Riềng,252
6,7,TX. Bình Long,51
7,8,Bù Đăng,547
8,9,Bù Đốp,240
9,10,TX. Đồng Xoài,109
10,11,Đồng Phú,339
