,#,Tháng,Số điểm cháy
0,1,1,2
1,2,2,4
2,3,3,8
3,4,4,16
4,5,5,49
5,6,6,27
6,7,7,55
7,8,8,104
8,9,9,102
9,10,10,46
10,11,11,8
11,12,12,5
