,#,Tháng,Số điểm cháy
0,1,1,21
1,2,2,2
2,3,3,13
3,4,4,18
4,5,5,25
5,6,6,6
6,7,7,3
7,8,8,6
8,9,9,11
9,10,10,9
10,11,11,2
