,#,Tháng,Số điểm cháy
0,1,1,3
1,2,2,172
2,3,3,117
3,4,4,77
4,5,5,16
5,6,6,24
6,7,7,5
7,8,8,20
8,9,9,13
9,10,10,34
10,11,11,1
