,#,Tên huyện,Số điểm cháy
0,1,Nha Trang,11
1,2,Cam Lâm,14
2,3,Cam Ranh,5
3,4,TX. Ninh Hòa,55
4,5,Vạn Ninh,4
5,6,Khánh Sơn,23
6,7,Diên Khánh,3
7,8,Khánh Vĩnh,64
