,#,Tên huyện,Số điểm cháy
0,1,Châu Thành,168
1,2,TX. Gò Công,58
2,3,TX. Cai Lậy,281
3,4,Gò Công Đông,105
4,5,Cai Lậy,588
5,6,Gò Công Tây,81
6,7,Cái Bè,611
7,8,Tân Phước,444
8,9,Tân Phú Đông,21
9,10,Chợ Gạo,69
10,11,Mỹ Tho,13
