,#,Tên huyện,Số điểm cháy
0,1,Lục Nam,1
1,2,Lục Ngạn,3
2,3,Cấm Sơn,3
3,4,Sơn Động,16
4,5,Yên Dũng,2
5,6,Lạng Giang,1
6,7,Yên Thế,9
