,#,Tên huyện,Số điểm cháy
0,1,TX. Ngã Năm,17
1,2,Cù Lao Dung,8
2,3,Trần Đề,12
3,4,Mỹ Tú,20
4,5,Sóc Trăng,5
5,6,Mỹ Xuyên,25
6,7,Thạnh Trị,6
7,8,Châu Thành,12
8,9,Kế Sách,9
9,10,TX. Vĩnh Châu,14
10,11,Long Phú,14
