,#,Tên huyện,Số điểm cháy
0,1,Đắk Glei,102
1,2,Kon Rẫy,211
2,3,Ia H' Drai,392
3,4,Kon Plông,248
4,5,Đắk Hà,161
5,6,Sa Thầy,133
6,7,Ngọc Hồi,164
7,8,Đắk Tô,36
8,9,Tu Mơ Rông,219
9,10,Kon Tum,7
