,#,Tên huyện,Số điểm cháy
0,1,Quốc Oai,5
1,2,Đông Anh,2
2,3,Mê Linh,8
3,4,Chương Mỹ,3
4,5,Thường Tín,5
5,6,Thanh Oai,1
6,7,Sóc Sơn,4
7,8,Q. Bắc Từ Liêm,1
8,9,Thạch Thất,8
9,10,Ba Vì,5
10,11,Q. Nam Từ Liêm,1
