,#,Tên huyện,Số điểm cháy
0,1,Tam Đường,6
1,2,Phong Thổ,72
2,3,Sìn Hồ,152
3,4,Than Uyên,30
4,5,Mường Tè,460
5,6,Lai Châu,2
6,7,Bắc Tân Uyên,58
7,8,Nậm Nhùn,113
