,#,Tháng,Số điểm cháy
0,1,1,283
1,2,2,896
2,3,3,1855
3,4,4,1278
4,5,5,123
5,6,6,34
6,7,7,28
7,8,8,66
8,9,9,28
9,10,10,83
10,11,11,35
11,12,12,18
