,#,Tháng,Số điểm cháy
0,1,1,4
1,2,2,3
2,3,3,46
3,4,4,28
4,5,5,58
5,6,6,38
6,7,7,2
7,8,8,4
8,9,9,1
9,10,10,2
10,11,12,27
