,#,Tháng,Số điểm cháy
0,1,1,19
1,2,2,369
2,3,3,461
3,4,4,930
4,5,5,55
5,6,6,159
6,7,7,46
7,8,8,49
8,9,9,74
9,10,10,85
10,11,11,28
11,12,12,13
