,#,Tháng,Số điểm cháy
0,1,1,69
1,2,2,502
2,3,3,522
3,4,4,343
4,5,5,45
5,6,6,21
6,7,7,48
7,8,8,31
8,9,9,57
9,10,10,65
10,11,11,93
11,12,12,34
