,#,Tên huyện,Số điểm cháy
0,1,Bá Thước,55
1,2,Hà Trung,36
2,3,Lang Chánh,176
3,4,TX. Bỉm Sơn,220
4,5,Thạch Thành,122
5,6,Triệu Sơn,28
6,7,Cẩm Thủy,73
7,8,Như Xuân,269
8,9,Quan Sơn,170
9,10,Quan Hóa,363
10,11,TX. Sầm Sơn,4
11,12,Tĩnh Gia,907
12,13,Nga Sơn,9
13,14,Nông Cống,36
14,15,Thường Xuân,236
15,16,Như Thanh,383
16,17,Vĩnh Lộc,11
17,18,Mường Lát,679
18,19,Yên Định,35
19,20,Thiệu Hóa,5
20,21,Đông Sơn,6
21,22,Quảng Xương,6
22,23,Hoằng Hóa,14
23,24,Ngọc Lặc,33
24,25,Thọ Xuân,21
25,26,Hậu Lộc,10
26,27,Thanh Hóa,113
