,#,Tên huyện,Số điểm cháy
0,1,Vị Xuyên,7
1,2,Bắc Mê,13
2,3,Bắc Quang,17
3,4,Yên Minh,5
4,5,Quang Bình,2
5,6,Hoàng Su Phì,1
6,7,Xín Mần,1
