,#,Tháng,Số điểm cháy
0,1,1,3
1,2,2,3
2,3,3,76
3,4,4,59
4,5,5,176
5,6,6,276
6,7,7,25
7,8,9,1
8,9,10,13
9,10,11,2
10,11,12,14
