,#,Tháng,Số điểm cháy
0,1,1,75
1,2,2,78
2,3,3,267
3,4,4,1548
4,5,5,53
5,6,6,5
6,7,7,12
7,8,8,2
8,9,9,33
9,10,10,20
10,11,11,45
11,12,12,7
