,#,Tháng,Số điểm cháy
0,1,1,77
1,2,2,580
2,3,3,1152
3,4,4,722
4,5,5,102
5,6,6,135
6,7,7,32
7,8,8,116
8,9,9,51
9,10,10,43
10,11,11,25
11,12,12,83
