,#,Tháng,Số điểm cháy
0,1,1,87
1,2,2,17
2,3,3,4
3,4,4,92
4,5,5,44
5,6,6,14
6,7,7,5
7,8,8,1
8,9,9,1
9,10,10,7
10,11,11,2
11,12,12,6
