,#,Tên huyện,Số điểm cháy
0,1,Cam Lâm,223
1,2,Nha Trang,76
2,3,Cam Ranh,85
3,4,TX. Ninh Hòa,828
4,5,Vạn Ninh,192
5,6,Khánh Sơn,465
6,7,Diên Khánh,83
7,8,Khánh Vĩnh,397
