,#,Tên huyện,Số điểm cháy
0,1,Hàm Tân,180
1,2,Phan Thiết,28
2,3,Bắc Bình,226
3,4,Tánh Linh,141
4,5,Hàm Thuận Nam,203
5,6,Hàm Thuận Bắc,128
6,7,Tuy Phong,57
7,8,TX. La Gi,41
8,9,Đức Linh,42
