,#,Tên huyện,Số điểm cháy
0,1,Nguyên Bình,7
1,2,Hòa An,2
2,3,Bảo Lâm,24
3,4,Hà Quảng,1
4,5,Hạ Lang,1
5,6,Thạch An,16
6,7,Bảo Lạc,12
7,8,Thông Nông,3
