,#,Tháng,Số điểm cháy
0,1,1,11
1,2,2,23
2,3,3,114
3,4,4,132
4,5,5,188
5,6,6,117
6,7,7,40
7,8,8,65
8,9,9,58
9,10,10,42
10,11,11,15
11,12,12,2
