,#,Tháng,Số điểm cháy
0,1,1,2
1,2,2,5
2,3,3,7
3,4,4,14
4,5,5,44
5,6,6,14
6,7,7,23
7,8,8,28
8,9,9,20
9,10,10,25
10,11,11,5
