,#,Tên huyện,Số điểm cháy
0,1,Tuy Đức,37
1,2,Cư Jút,32
2,3,Đắk Mil,20
3,4,Đắk Song,50
4,5,Đắk RLấp,1
5,6,Đắk Glong,274
6,7,TX. Gia Nghĩa,27
7,8,KRông Nô,49
