,#,Tháng,Số điểm cháy
0,1,1,25
1,2,2,260
2,3,3,592
3,4,4,349
4,5,5,73
5,6,6,47
6,7,7,25
7,8,8,5
8,9,9,26
9,10,10,37
10,11,11,95
11,12,12,115
