,#,Tháng,Số điểm cháy
0,1,1,160
1,2,2,441
2,3,3,3142
3,4,4,4302
4,5,5,85
5,6,6,6
6,7,7,93
7,8,8,142
8,9,9,130
9,10,10,74
10,11,11,226
11,12,12,287
