,#,Tháng,Số điểm cháy
0,1,1,38
1,2,2,295
2,3,3,483
3,4,4,2738
4,5,5,154
5,6,6,76
6,7,7,41
7,8,8,41
8,9,9,103
9,10,10,98
10,11,11,34
11,12,12,25
