,#,Tên huyện,Số điểm cháy
0,1,Bù Gia Mập,55
1,2,Hớn Quản,9
2,3,Lộc Ninh,39
3,4,Bù Đốp,30
4,5,Bù Đăng,118
5,6,Đồng Phú,28
