,#,Tên huyện,Số điểm cháy
0,1,Bắc Ninh,48
1,2,TX. Từ Sơn,57
2,3,Gia Bình,6
3,4,Lương Tài,19
4,5,Tiên Du,53
5,6,Quế Võ,45
6,7,Thuận Thành,27
7,8,Yên Phong,185
