,#,Tên huyện,Số điểm cháy
0,1,Q. Liên Chiểu,39
1,2,Q. Ngũ Hành Sơn,8
2,3,Q. Cẩm Lệ,20
3,4,Q. Sơn Trà,3
4,5,Hòa Vang,412
