,#,Tháng,Số điểm cháy
0,1,2,4
1,2,3,3
2,3,4,27
3,4,5,8
4,5,6,1
5,6,7,22
6,7,8,13
7,8,9,18
8,9,10,13
9,10,11,4
10,11,12,7
