,#,Tháng,Số điểm cháy
0,1,1,1
1,2,2,10
2,3,3,19
3,4,4,12
4,5,5,4
5,6,6,5
6,7,7,5
7,8,8,8
8,9,9,5
9,10,10,9
10,11,11,1
