,#,Tên huyện,Số điểm cháy
0,1,Bắc Ninh,15
1,2,Gia Bình,2
2,3,TX. Từ Sơn,10
3,4,Lương Tài,4
4,5,Quế Võ,39
5,6,Tiên Du,29
6,7,Yên Phong,186
7,8,Thuận Thành,3
