,#,Tên huyện,Số điểm cháy
0,1,Thăng Bình,19
1,2,Nam Giang,241
2,3,Bắc Trà My,439
3,4,Đông Giang,222
4,5,Nông Sơn,98
5,6,Tam Kỳ,9
6,7,Đại Lộc,86
7,8,Tiên Phước,224
8,9,Hội An,1
9,10,Điện Bàn,4
10,11,Nam Trà My,114
11,12,Duy Xuyên,13
12,13,Tây Giang,117
13,14,Quế Sơn,13
14,15,Núi Thành,324
15,16,Phước Sơn,276
16,17,Hiệp Đức,258
17,18,Phú Ninh,31
