,#,Tên huyện,Số điểm cháy
0,1,Hương Khê,55
1,2,Thạch Hà,2
2,3,Hương Sơn,16
3,4,Can Lộc,1
4,5,Kỳ Anh,25
5,6,Vũ Quang,9
6,7,Cẩm Xuyên,7
7,8,TX. Kỳ Anh,1
