,#,Tháng,Số điểm cháy
0,1,1,29
1,2,2,284
2,3,3,618
3,4,4,1169
4,5,5,151
5,6,6,72
6,7,7,121
7,8,8,207
8,9,9,338
9,10,10,148
10,11,11,110
11,12,12,37
