,#,Tên huyện,Số điểm cháy
0,1,Tuy Đức,135
1,2,Cư Jút,192
2,3,Đắk Mil,94
3,4,Đắk Song,82
4,5,Đắk RLấp,3
5,6,Đắk Glong,430
6,7,TX. Gia Nghĩa,31
7,8,KRông Nô,95
