,#,Tên huyện,Số điểm cháy
0,1,Đồng Hới,46
1,2,Bố Trạch,1186
2,3,Tuyên Hoá,378
3,4,Quảng Trạch,222
4,5,Lệ Thuỷ,1050
5,6,Minh Hoá,471
6,7,Quảng Ninh,428
7,8,TX. Ba Đồn,275
