,#,Tháng,Số điểm cháy
0,1,1,43
1,2,2,1037
2,3,3,1719
3,4,4,2157
4,5,5,230
5,6,6,63
6,7,7,56
7,8,8,26
8,9,9,65
9,10,10,177
10,11,11,30
11,12,12,22
