,#,Tên huyện,Số điểm cháy
0,1,Vị Xuyên,221
1,2,Bắc Mê,392
2,3,Bắc Quang,450
3,4,Yên Minh,177
4,5,Quang Bình,151
5,6,Mèo Vạc,69
6,7,Quản Bạ,23
7,8,Đồng Văn,23
8,9,Hà Giang,11
9,10,Hoàng Su Phì,101
10,11,Xín Mần,122
