,#,Tháng,Số điểm cháy
0,1,1,223
1,2,2,688
2,3,3,1944
3,4,4,2132
4,5,5,494
5,6,6,320
6,7,7,314
7,8,8,22
8,9,9,319
9,10,10,154
10,11,11,180
11,12,12,168
