,#,Tháng,Số điểm cháy
0,1,1,215
1,2,2,314
2,3,3,141
3,4,4,91
4,5,5,22
5,6,6,3
6,7,7,3
7,8,8,3
8,9,10,1
9,10,11,4
10,11,12,107
