,#,Tên huyện,Số điểm cháy
0,1,Tuy Đức,89
1,2,Cư Jút,122
2,3,Đắk Mil,36
3,4,Đắk Song,123
4,5,Đắk RLấp,10
5,6,Đắk Glong,614
6,7,TX. Gia Nghĩa,28
7,8,KRông Nô,86
