,#,Tháng,Số điểm cháy
0,1,1,4
1,2,2,75
2,3,3,61
3,4,4,146
4,5,5,31
5,6,6,21
6,7,7,19
7,8,8,15
8,9,9,14
9,10,10,17
10,11,11,4
11,12,12,3
