,#,Tên huyện,Số điểm cháy
0,1,Bình Gia,69
1,2,Tràng Định,133
2,3,Chi Lăng,40
3,4,Hữu Lũng,73
4,5,Đình Lập,149
5,6,Lộc Bình,26
6,7,Văn Lãng,13
7,8,Văn Quan,6
8,9,Lạng Sơn,2
9,10,Cao Lộc,17
10,11,Bắc Sơn,62
