,#,Tháng,Số điểm cháy
0,1,1,43
1,2,2,330
2,3,3,267
3,4,4,180
4,5,5,18
5,6,6,24
6,7,7,13
7,8,9,44
8,9,10,27
9,10,11,147
10,11,12,137
