,#,Tháng,Số điểm cháy
0,1,1,5
1,2,2,83
2,3,3,116
3,4,4,126
4,5,5,3
5,6,6,8
6,7,7,15
7,8,8,16
8,9,9,33
9,10,10,54
10,11,11,4
11,12,12,1
