,#,Tên huyện,Số điểm cháy
0,1,Nguyên Bình,10
1,2,Hòa An,1
2,3,Bảo Lâm,47
3,4,Hà Quảng,1
4,5,Hạ Lang,2
5,6,Thạch An,6
6,7,Bảo Lạc,13
7,8,Phục Hòa,1
