,#,Tên huyện,Số điểm cháy
0,1,Mang Thít,2
1,2,Tam Bình,156
2,3,Bình Tân,42
3,4,Long Hồ,31
4,5,TX. Bình Minh,2
5,6,Trà Ôn,5
