,#,Tên huyện,Số điểm cháy
0,1,Hàm Tân,1808
1,2,Phan Thiết,192
2,3,Bắc Bình,3190
3,4,Hàm Thuận Bắc,1534
4,5,Hàm Thuận Nam,1951
5,6,Tánh Linh,1261
6,7,Phú Qúy,1
7,8,Tuy Phong,461
8,9,TX. La Gi,368
9,10,Đức Linh,346
