,#,Tháng,Số điểm cháy
0,1,1,51
1,2,2,3420
2,3,3,7769
3,4,4,10830
4,5,5,526
5,6,6,1
6,7,7,1
7,8,8,5
8,9,9,16
9,10,10,29
10,11,11,31
11,12,12,7
