,#,Tháng,Số điểm cháy
0,1,1,3
1,2,2,141
2,3,3,452
3,4,4,373
4,5,5,254
5,6,6,15
6,7,7,11
7,8,8,5
8,9,9,78
9,10,10,108
10,11,11,172
11,12,12,231
