,#,Tên huyện,Số điểm cháy
0,1,Lang Chánh,11
1,2,Thạch Thành,2
2,3,Cẩm Thủy,4
3,4,Như Xuân,14
4,5,Quan Sơn,14
5,6,Quan Hóa,51
6,7,Tĩnh Gia,9
7,8,Nông Cống,3
8,9,Thường Xuân,15
9,10,Như Thanh,20
10,11,Vĩnh Lộc,1
11,12,Mường Lát,83
12,13,Ngọc Lặc,4
