,#,Tên huyện,Số điểm cháy
0,1,Cẩm Khê,11
1,2,Hạ Hòa,30
2,3,Tam Nông,14
3,4,Phù Ninh,2
4,5,Đoan Hùng,10
5,6,Thanh Sơn,191
6,7,Lâm Thao,7
7,8,Tân Sơn,83
8,9,Thanh Thủy,18
9,10,TX. Phú Thọ,2
10,11,Việt Trì,16
11,12,Yên Lập,41
12,13,Thanh Ba,12
