,#,Tên huyện,Số điểm cháy
0,1,Tam Đường,15
1,2,Phong Thổ,42
2,3,Sìn Hồ,98
3,4,Than Uyên,117
4,5,Mường Tè,466
5,6,Lai Châu,3
6,7,Bắc Tân Uyên,91
7,8,Nậm Nhùn,270
