,#,Tháng,Số điểm cháy
0,1,1,1021
1,2,2,12262
2,3,3,20344
3,4,4,7102
4,5,5,324
5,6,6,82
6,7,7,86
7,8,8,31
8,9,9,27
9,10,10,94
10,11,11,4
11,12,12,52
