,#,Tên huyện,Số điểm cháy
0,1,Đồng Xuân,112
1,2,Tuy An,4
2,3,Sông Hinh,16
3,4,Phú Hòa,34
4,5,Tuy Hòa,3
5,6,Đông Hòa,4
6,7,Tây Hòa,6
7,8,TX. Sông Cầu,58
8,9,Sơn Hòa,103
