,#,Tháng,Số điểm cháy
0,1,1,129
1,2,2,1623
2,3,3,3455
3,4,4,3407
4,5,5,143
5,6,6,2
6,7,7,1
7,8,8,4
8,9,9,15
9,10,10,22
10,11,11,162
11,12,12,186
