,#,Tên huyện,Số điểm cháy
0,1,Đông Hà,102
1,2,Gio Linh,165
2,3,Hướng Hóa,2552
3,4,Đa Krông,1398
4,5,TX. Quảng Trị,16
5,6,Hải Lăng,412
6,7,Cam Lộ,394
7,8,Triệu Phong,291
8,9,Vĩnh Linh,295
