,#,Tên huyện,Số điểm cháy
0,1,Đông Hà,1
1,2,Hướng Hóa,34
2,3,Gio Linh,31
3,4,Đa Krông,228
4,5,TX. Quảng Trị,3
5,6,Hải Lăng,44
6,7,Cam Lộ,16
7,8,Triệu Phong,14
8,9,Vĩnh Linh,37
