,#,Tên huyện,Số điểm cháy
0,1,Nậm Pồ,10980
1,2,Tủa Chùa,1260
2,3,Điện Biên Đông,7113
3,4,TX. Mường Lay,180
4,5,Mường Chà,7137
5,6,Tuần Giáo,6712
6,7,Điện Biên,12953
7,8,Mường Nhé,10920
8,9,Điện Biên Ph,90
9,10,Mường ảng,1629
